id,team_name,season
1,AC Milan,2023-24
2,AC Sparta Praha,2023-24
3,AEK Athen,2023-24
4,AFC Ajax,2023-24
5,AS Roma,2023-24
6,Aris Limassol,2023-24
7,Atalanta BC,2023-24
8,BK Häcken,2023-24
9,BSC Young Boys,2023-24
10,Bayer 04 Leverkusen,2023-24
11,Brighton & Hove Albion,2023-24
12,FC Sheriff,2023-24
13,FK Shakhtar Donetsk,2023-24
14,Feyenoord Rotterdam,2023-24
15,Galatasaray SK,2023-24
16,LASK,2023-24
17,Liverpool FC,2023-24
18,Maccabi Haifa,2023-24
19,Molde FK,2023-24
20,Olympiakos Piraeus,2023-24
21,Olympique de Marseille,2023-24
22,Panathinaikos,2023-24
23,Qarabağ FK,2023-24
24,RC Lens,2023-24
25,Raków Częstochowa,2023-24
26,Rangers FC,2023-24
27,Real Betis,2023-24
28,SC Freiburg,2023-24
29,SK Slavia Praha,2023-24
30,SL Benfica,2023-24
31,Servette FC,2023-24
32,Sporting Clube de Braga,2023-24
33,Sporting Clube de Portugal,2023-24
34,Stade Rennais,2023-24
35,Sturm Graz,2023-24
36,TSC Bačka Topola,2023-24
37,Toulouse FC,2023-24
38,Union Saint-Gilloise,2023-24
39,Villarreal CF,2023-24
40,West Ham United,2023-24
