id,team_name,season
1,1. FC Union Berlin,2022-23
2,AEK Larnaca,2022-23
3,AFC Ajax,2022-23
4,AS Monaco FC,2022-23
5,AS Roma,2022-23
6,Arsenal FC,2022-23
7,Bayer 04 Leverkusen,2022-23
8,Dinamo Kiev,2022-23
9,FC Barcelona,2022-23
10,FC Midtjylland,2022-23
11,FC Nantes,2022-23
12,FC Red Bull Salzburg,2022-23
13,FC Sheriff,2022-23
14,FC Zürich,2022-23
15,FK Bodø/Glimt,2022-23
16,FK Crvena Zvezda,2022-23
17,FK Shakhtar Donetsk,2022-23
18,Fenerbahçe,2022-23
19,Ferencvárosi TC,2022-23
20,Feyenoord Rotterdam,2022-23
21,HJK Helsinki,2022-23
22,Juventus FC,2022-23
23,Lazio Roma,2022-23
24,Malmö FF,2022-23
25,Manchester United FC,2022-23
26,Olympiakos Piraeus,2022-23
27,Omonia Nikosia,2022-23
28,PFC Ludogorets Razgrad,2022-23
29,PSV,2022-23
30,Qarabağ FK,2022-23
31,Real Betis,2022-23
32,Real Sociedad,2022-23
33,SC Freiburg,2022-23
34,Sevilla FC,2022-23
35,Sporting Clube de Braga,2022-23
36,Sporting Clube de Portugal,2022-23
37,Stade Rennais,2022-23
38,Sturm Graz,2022-23
39,Trabzonspor,2022-23
40,Union Saint-Gilloise,2022-23
