id,team_name,season
1,1899 Hoffenheim,2020-21
2,AC Milan,2020-21
3,AC Sparta Praha,2020-21
4,AEK Athen,2020-21
5,AFC Ajax,2020-21
6,AS Roma,2020-21
7,AZ Alkmaar,2020-21
8,Arsenal FC,2020-21
9,BSC Young Boys,2020-21
10,Bayer 04 Leverkusen,2020-21
11,CFR Cluj,2020-21
12,CSKA Moskva,2020-21
13,CSKA Sofia,2020-21
14,Celtic FC,2020-21
15,Club Brugge KV,2020-21
16,Dinamo Kiev,2020-21
17,Dundalk FC,2020-21
18,FC Red Bull Salzburg,2020-21
19,FK Crvena Zvezda,2020-21
20,FK Krasnodar,2020-21
21,FK Shakhtar Donetsk,2020-21
22,Feyenoord Rotterdam,2020-21
23,GNK Dinamo Zagreb,2020-21
24,Granada CF,2020-21
25,HNK Rijeka,2020-21
26,Hapoel Be'er Sheva,2020-21
27,KAA Gent,2020-21
28,LASK,2020-21
29,Lech Poznań,2020-21
30,Leicester City,2020-21
31,Lille OSC,2020-21
32,Maccabi Tel Aviv,2020-21
33,Manchester United FC,2020-21
34,Molde FK,2020-21
35,OGC Nice,2020-21
36,Olympiakos Piraeus,2020-21
37,Omonia Nikosia,2020-21
38,PAOK Saloniki,2020-21
39,PFC Ludogorets Razgrad,2020-21
40,PSV,2020-21
41,Qarabağ FK,2020-21
42,Rangers FC,2020-21
43,Rapid Wien,2020-21
44,Real Sociedad,2020-21
45,Royal Antwerp FC,2020-21
46,SK Slavia Praha,2020-21
47,SL Benfica,2020-21
48,SSC Napoli,2020-21
49,Sivasspor,2020-21
50,Slovan Liberec,2020-21
51,Sporting Clube de Braga,2020-21
52,Standard Liège,2020-21
53,Tottenham Hotspur FC,2020-21
54,Villarreal CF,2020-21
55,Wolfsberger AC,2020-21
56,Zorya Lugansk,2020-21
