id,team_name,season
1,AC Sparta Praha,2021-22
2,AS Monaco FC,2021-22
3,Atalanta BC,2021-22
4,Bayer 04 Leverkusen,2021-22
5,Borussia Dortmund,2021-22
6,Brøndby IF,2021-22
7,Celtic FC,2021-22
8,Eintracht Frankfurt,2021-22
9,FC Barcelona,2021-22
10,FC Midtjylland,2021-22
11,FC Porto,2021-22
12,FC Sheriff,2021-22
13,FK Crvena Zvezda,2021-22
14,Fenerbahçe,2021-22
15,Ferencvárosi TC,2021-22
16,GNK Dinamo Zagreb,2021-22
17,Galatasaray SK,2021-22
18,KRC Genk,2021-22
19,Lazio Roma,2021-22
20,Legia Warszawa,2021-22
21,Leicester City,2021-22
22,Lokomotiv Moskva,2021-22
23,Olympiakos Piraeus,2021-22
24,Olympique Lyonnais,2021-22
25,Olympique de Marseille,2021-22
26,PFC Ludogorets Razgrad,2021-22
27,PSV,2021-22
28,RB Leipzig,2021-22
29,Rangers FC,2021-22
30,Rapid Wien,2021-22
31,Real Betis,2021-22
32,Real Sociedad,2021-22
33,Royal Antwerp FC,2021-22
34,SSC Napoli,2021-22
35,Sevilla FC,2021-22
36,Spartak Moskva,2021-22
37,Sporting Clube de Braga,2021-22
38,Sturm Graz,2021-22
39,West Ham United,2021-22
40,Zenit St. Petersburg,2021-22
