home_last5_w,home_last5_d,home_last5_l,home_last5_pts,away_last5_w,away_last5_d,away_last5_l,away_last5_pts,home_last5_all_pts,away_last5_all_pts,home_goals_for,home_goals_against,away_goals_for,away_goals_against,h2h_home_w,h2h_away_w,h2h_draw,home_days_rest,away_days_rest,home_ranking_pts,away_ranking_pts,ranking_diff,home_uefa_coef,away_uefa_coef,uefa_coef_diff,is_knockout,matchday,result,home_team,away_team,match_date,home_score,away_score
0,1,1,1,0,0,2,0,4,3,1.5,2.5,3.0,4.0,1,0,0,20,20,0,0,0,42.0,76.0,-34.0,0,5,0,Galatasaray SK,Manchester United FC,2023-11-29 18:45:00+00:00,3.0,3.0
0,1,1,1,0,1,1,1,2,5,1.0,1.5,0.5,2.5,0,0,1,20,20,0,0,0,56.0,58.0,-2.0,0,5,2,Sevilla FC,PSV,2023-11-29 18:45:00+00:00,2.0,3.0
2,0,0,6,0,1,1,1,9,5,3.0,0.0,0.5,1.0,0,1,0,21,21,0,0,0,97.0,50.0,47.0,0,5,1,Arsenal FC,Racing Club de Lens,2023-11-29 21:00:00+00:00,6.0,0.0
2,0,0,6,0,1,1,1,12,4,3.0,2.0,1.0,1.5,1,0,0,21,21,0,0,0,107.0,50.0,57.0,0,5,0,FC Bayern München,FC København,2023-11-29 21:00:00+00:00,0.0,0.0
1,1,0,4,1,0,1,3,10,3,2.0,1.0,1.5,1.0,1,0,0,21,21,0,0,0,50.0,54.0,-4.0,0,5,0,Real Sociedad de Fútbol,FC Red Bull Salzburg,2023-11-29 21:00:00+00:00,0.0,0.0
2,0,0,6,2,0,0,6,12,7,2.0,0.0,1.5,0.5,1,0,0,21,21,0,0,0,128.0,58.0,70.0,0,5,1,Real Madrid CF,SSC Napoli,2023-11-29 21:00:00+00:00,4.0,2.0
1,1,0,4,1,0,1,3,8,12,1.5,1.0,1.5,1.5,0,1,0,13,12,0,0,0,58.0,97.0,-39.0,0,6,0,PSV,Arsenal FC,2023-12-12 18:45:00+00:00,1.0,1.0
1,1,0,4,0,1,1,1,5,2,1.5,1.0,1.0,2.0,0,0,1,12,13,0,0,0,50.0,56.0,-6.0,0,6,1,Racing Club de Lens,Sevilla FC,2023-12-12 18:45:00+00:00,2.0,1.0
0,1,1,1,1,0,1,3,7,4,1.5,2.0,1.5,2.5,1,0,0,13,13,0,0,0,58.0,50.0,8.0,0,6,1,SSC Napoli,Sporting Clube de Braga,2023-12-12 21:00:00+00:00,2.0,0.0
2,0,0,6,2,0,0,6,11,11,1.5,0.5,1.5,0.0,0,0,1,13,13,0,0,0,79.0,50.0,29.0,0,6,0,FC Internazionale Milano,Real Sociedad de Fútbol,2023-12-12 21:00:00+00:00,0.0,0.0
1,0,1,3,2,0,0,6,4,13,1.5,1.5,2.5,1.0,0,1,0,13,13,0,0,0,76.0,107.0,-31.0,0,6,2,Manchester United FC,FC Bayern München,2023-12-12 21:00:00+00:00,0.0,1.0
1,0,1,3,1,0,1,3,5,5,2.5,2.5,2.0,2.0,0,0,1,13,13,0,0,0,50.0,42.0,8.0,0,6,1,FC København,Galatasaray SK,2023-12-12 21:00:00+00:00,1.0,0.0
0,1,1,1,2,0,0,6,1,15,1.5,2.0,3.0,1.0,0,1,0,14,14,0,0,0,38.0,103.0,-65.0,0,6,2,FK Crvena Zvezda,Manchester City FC,2023-12-13 18:45:00+00:00,2.0,3.0
1,0,1,3,0,1,1,1,9,4,2.0,2.0,1.0,2.5,1,0,0,14,14,0,0,0,50.0,46.0,4.0,0,6,1,RB Leipzig,BSC Young Boys,2023-12-13 18:45:00+00:00,2.0,1.0
2,0,0,6,1,0,1,3,11,10,4.5,1.0,1.5,2.0,0,0,1,15,15,0,0,0,88.0,54.0,34.0,0,6,1,Club Atlético de Madrid,SS Lazio,2023-12-13 21:00:00+00:00,2.0,0.0
0,1,1,1,0,0,2,0,1,6,1.5,2.0,1.0,2.0,0,1,0,15,15,0,0,0,45.0,50.0,-5.0,0,6,1,Celtic FC,Feyenoord Rotterdam,2023-12-13 21:00:00+00:00,2.0,1.0
1,0,1,3,0,1,1,1,5,5,2.0,1.0,0.0,1.5,0,0,1,15,15,0,0,0,58.0,72.0,-14.0,0,6,2,Newcastle United FC,AC Milan,2023-12-13 21:00:00+00:00,1.0,2.0
1,1,0,4,0,0,2,0,10,7,1.0,0.0,1.0,3.0,0,1,0,15,15,0,0,0,78.0,92.0,-14.0,0,6,0,Borussia Dortmund,Paris Saint-Germain FC,2023-12-13 21:00:00+00:00,1.0,1.0
1,0,1,3,1,0,1,3,9,9,1.0,0.5,2.0,2.0,1,0,0,15,15,0,0,0,72.0,50.0,22.0,0,6,1,FC Porto,FK Shakhtar Donetsk,2023-12-13 21:00:00+00:00,5.0,3.0
2,0,1,6,3,0,0,9,7,15,2.0,1.6666666666666667,3.0,1.3333333333333333,0,0,0,63,62,0,0,0,50.0,103.0,-53.0,0,6,2,FC København,Manchester City FC,2024-02-13 21:00:00+00:00,1.0,3.0
2,0,1,6,3,0,0,9,9,15,2.0,1.6666666666666667,2.6666666666666665,1.6666666666666667,0,0,0,62,63,0,0,0,50.0,128.0,-78.0,0,6,2,RB Leipzig,Real Madrid CF,2024-02-13 21:00:00+00:00,0.0,1.0
2,1,0,7,2,1,0,7,5,11,2.0,0.3333333333333333,1.0,0.0,0,0,0,63,64,0,0,0,92.0,50.0,42.0,0,6,1,Paris Saint-Germain FC,Real Sociedad de Fútbol,2024-02-14 21:00:00+00:00,2.0,0.0
2,1,0,7,3,0,0,9,9,13,1.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,0,0,0,63,64,0,0,0,54.0,107.0,-53.0,0,6,1,SS Lazio,FC Bayern München,2024-02-14 21:00:00+00:00,1.0,0.0
1,2,0,5,2,0,1,6,9,11,1.3333333333333333,1.0,1.3333333333333333,1.0,0,0,0,70,69,0,0,0,58.0,78.0,-20.0,0,6,0,PSV,Borussia Dortmund,2024-02-20 21:00:00+00:00,1.0,1.0
2,1,0,7,1,2,0,5,11,13,1.0,0.3333333333333333,2.0,1.3333333333333333,0,0,0,70,69,0,0,0,79.0,88.0,-9.0,0,6,1,FC Internazionale Milano,Club Atlético de Madrid,2024-02-20 21:00:00+00:00,1.0,0.0
2,0,1,6,1,1,1,4,9,10,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,0,0,0,70,71,0,0,0,72.0,97.0,-25.0,0,6,1,FC Porto,Arsenal FC,2024-02-21 21:00:00+00:00,1.0,0.0
1,1,1,4,1,0,2,3,7,9,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,0,0,0,71,70,0,0,0,58.0,98.0,-40.0,0,6,0,SSC Napoli,FC Barcelona,2024-02-21 21:00:00+00:00,1.0,1.0
