team_name,seasons
SS Lazio,2023-24
SSC Napoli,"2011-12, 2013-14, 2016-17, 2017-18, 2018-19, 2019-20, 2022-23, 2023-24, 2025-26"
Sevilla FC,"2015-16, 2016-17, 2017-18, 2020-21, 2021-22, 2022-23, 2023-24"
Spartak Moskva,"2012-13, 2017-18"
Sporting Clube de Braga,"2012-13, 2023-24"
Sporting Clube de Portugal,"2014-15, 2016-17, 2017-18, 2021-22, 2022-23, 2024-25, 2025-26"
Stade Rennais,2020-21
Tottenham Hotspur FC,"2016-17, 2017-18, 2018-19, 2019-20, 2022-23, 2025-26"
Trabzonspor,2011-12
Valencia CF,"2011-12, 2012-13, 2015-16, 2018-19, 2019-20"
VfB Stuttgart,2024-25
VfL Wolfsburg,"2015-16, 2021-22"
Villarreal CF,"2011-12, 2021-22, 2025-26"
Zenit St. Petersburg,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2019-20, 2020-21, 2021-22"
İstanbul Başakşehir FK,2020-21
ŠK Slovan Bratislava,2024-25
