id,date,matchday,home_team,away_team,home_score,away_score,status
1771528443964,2019-09-17T18:55:00Z,1,FC Internazionale Milano,SK Slavia Praha,1.0,1.0,FINISHED
1771528443979,2019-09-17T18:55:00Z,1,Olympique Lyonnais,Zenit St. Petersburg,1.0,1.0,FINISHED
1771528443949,2019-09-17T21:00:00Z,1,SSC Napoli,Liverpool FC,2.0,0.0,FINISHED
1771528443951,2019-09-17T21:00:00Z,1,FC Red Bull Salzburg,KRC Genk,6.0,2.0,FINISHED
1771528443965,2019-09-17T21:00:00Z,1,Borussia Dortmund,FC Barcelona,0.0,0.0,FINISHED
1771528443980,2019-09-17T21:00:00Z,1,SL Benfica,RB Leipzig,1.0,2.0,FINISHED
1771528443994,2019-09-17T21:00:00Z,1,Chelsea FC,Valencia CF,0.0,1.0,FINISHED
1771528443995,2019-09-17T21:00:00Z,1,AFC Ajax,Lille OSC,3.0,0.0,FINISHED
1771528443890,2019-09-18T18:55:00Z,1,Club Brugge KV,Galatasaray SK,0.0,0.0,FINISHED
1771528443905,2019-09-18T18:55:00Z,1,Olympiakos Piraeus,Tottenham Hotspur FC,2.0,2.0,FINISHED
1771528443892,2019-09-18T21:00:00Z,1,Paris Saint-Germain FC,Real Madrid CF,3.0,0.0,FINISHED
1771528443906,2019-09-18T21:00:00Z,1,FC Bayern München,FK Crvena Zvezda,3.0,0.0,FINISHED
1771528443920,2019-09-18T21:00:00Z,1,FK Shakhtar Donetsk,Manchester City FC,0.0,3.0,FINISHED
1771528443921,2019-09-18T21:00:00Z,1,GNK Dinamo Zagreb,Atalanta BC,4.0,0.0,FINISHED
1771528443935,2019-09-18T21:00:00Z,1,Club Atlético de Madrid,Juventus FC,2.0,2.0,FINISHED
1771528443936,2019-09-18T21:00:00Z,1,Bayer 04 Leverkusen,Lokomotiv Moskva,1.0,2.0,FINISHED
1771528443893,2019-10-01T18:55:00Z,1,Real Madrid CF,Club Brugge KV,2.0,2.0,FINISHED
1771528443922,2019-10-01T18:55:00Z,1,Atalanta BC,FK Shakhtar Donetsk,1.0,2.0,FINISHED
1771528443894,2019-10-01T21:00:00Z,1,Galatasaray SK,Paris Saint-Germain FC,0.0,1.0,FINISHED
1771528443908,2019-10-01T21:00:00Z,1,Tottenham Hotspur FC,FC Bayern München,2.0,7.0,FINISHED
1771528443909,2019-10-01T21:00:00Z,1,FK Crvena Zvezda,Olympiakos Piraeus,3.0,1.0,FINISHED
1771528443924,2019-10-01T21:00:00Z,1,Manchester City FC,GNK Dinamo Zagreb,2.0,0.0,FINISHED
1771528443937,2019-10-01T21:00:00Z,1,Juventus FC,Bayer 04 Leverkusen,3.0,0.0,FINISHED
1771528443938,2019-10-01T21:00:00Z,1,Lokomotiv Moskva,Club Atlético de Madrid,0.0,2.0,FINISHED
1771528443952,2019-10-02T18:55:00Z,1,KRC Genk,SSC Napoli,0.0,0.0,FINISHED
1771528443967,2019-10-02T18:55:00Z,1,SK Slavia Praha,Borussia Dortmund,0.0,2.0,FINISHED
1771528443953,2019-10-02T21:00:00Z,1,Liverpool FC,FC Red Bull Salzburg,4.0,3.0,FINISHED
1771528443968,2019-10-02T21:00:00Z,1,FC Barcelona,FC Internazionale Milano,2.0,1.0,FINISHED
1771528443981,2019-10-02T21:00:00Z,1,Zenit St. Petersburg,SL Benfica,3.0,1.0,FINISHED
