id,team_name,season
1,APOEL Nikosia,2017-18
2,AS Monaco FC,2017-18
3,AS Roma,2017-18
4,Bayern München,2017-18
5,Beşiktaş,2017-18
6,Borussia Dortmund,2017-18
7,CSKA Moskva,2017-18
8,Celtic FC,2017-18
9,Chelsea FC,2017-18
10,Club Atlético de Madrid,2017-18
11,FC Barcelona,2017-18
12,FC Basel 1893,2017-18
13,FC Porto,2017-18
14,FK Shakhtar Donetsk,2017-18
15,Feyenoord Rotterdam,2017-18
16,Juventus FC,2017-18
17,Liverpool FC,2017-18
18,Manchester City FC,2017-18
19,Manchester United FC,2017-18
20,NK Maribor,2017-18
21,Olympiakos Piraeus,2017-18
22,Paris Saint-Germain FC,2017-18
23,Qarabağ FK,2017-18
24,RB Leipzig,2017-18
25,RSC Anderlecht,2017-18
26,Real Madrid CF,2017-18
27,SL Benfica,2017-18
28,SSC Napoli,2017-18
29,Sevilla FC,2017-18
30,Spartak Moskva,2017-18
31,Sporting Clube de Portugal,2017-18
32,Tottenham Hotspur FC,2017-18
