id,team_name,season
1,AFC Ajax,2025-26
2,AS Monaco FC,2025-26
3,Arsenal FC,2025-26
4,Atalanta BC,2025-26
5,Athletic Club,2025-26
6,Bayer 04 Leverkusen,2025-26
7,Borussia Dortmund,2025-26
8,Chelsea FC,2025-26
9,Club Atlético de Madrid,2025-26
10,Club Brugge KV,2025-26
11,Eintracht Frankfurt,2025-26
12,FC Barcelona,2025-26
13,FC Bayern München,2025-26
14,FC Internazionale Milano,2025-26
15,FC København,2025-26
16,FK Bodø/Glimt,2025-26
17,FK Kairat,2025-26
18,Galatasaray SK,2025-26
19,Juventus FC,2025-26
20,Liverpool FC,2025-26
21,Manchester City FC,2025-26
22,Newcastle United FC,2025-26
23,Olympique de Marseille,2025-26
24,PAE Olympiakos SFP,2025-26
25,PSV,2025-26
26,Paphos FC,2025-26
27,Paris Saint-Germain FC,2025-26
28,Qarabağ Ağdam FK,2025-26
29,Real Madrid CF,2025-26
30,Royale Union Saint-Gilloise,2025-26
31,SK Slavia Praha,2025-26
32,SL Benfica,2025-26
33,SSC Napoli,2025-26
34,Sporting Clube de Portugal,2025-26
35,Tottenham Hotspur FC,2025-26
36,Villarreal CF,2025-26
