id,team_name,season
1,AFC Ajax,2014-15
2,APOEL Nikosia,2014-15
3,AS Monaco FC,2014-15
4,AS Roma,2014-15
5,Arsenal FC,2014-15
6,Athletic Club,2014-15
7,BATE Borisov,2014-15
8,Bayer 04 Leverkusen,2014-15
9,Bayern München,2014-15
10,Borussia Dortmund,2014-15
11,CSKA Moskva,2014-15
12,Chelsea FC,2014-15
13,Club Atlético de Madrid,2014-15
14,FC Barcelona,2014-15
15,FC Basel 1893,2014-15
16,FC Porto,2014-15
17,FC Schalke 04,2014-15
18,FK Shakhtar Donetsk,2014-15
19,Galatasaray SK,2014-15
20,Juventus FC,2014-15
21,Liverpool FC,2014-15
22,Malmö FF,2014-15
23,Manchester City FC,2014-15
24,NK Maribor,2014-15
25,Olympiakos Piraeus,2014-15
26,PFC Ludogorets Razgrad,2014-15
27,Paris Saint-Germain FC,2014-15
28,RSC Anderlecht,2014-15
29,Real Madrid CF,2014-15
30,SL Benfica,2014-15
31,Sporting Clube de Portugal,2014-15
32,Zenit St. Petersburg,2014-15
