id,team_name,season
1,1899 Hoffenheim,2018-19
2,AEK Athen,2018-19
3,AFC Ajax,2018-19
4,AS Monaco FC,2018-19
5,AS Roma,2018-19
6,BSC Young Boys,2018-19
7,Bayern München,2018-19
8,Borussia Dortmund,2018-19
9,CSKA Moskva,2018-19
10,Club Atlético de Madrid,2018-19
11,Club Brugge KV,2018-19
12,FC Barcelona,2018-19
13,FC Internazionale Milano,2018-19
14,FC Porto,2018-19
15,FC Schalke 04,2018-19
16,FK Crvena Zvezda,2018-19
17,FK Shakhtar Donetsk,2018-19
18,Galatasaray SK,2018-19
19,Juventus FC,2018-19
20,Liverpool FC,2018-19
21,Lokomotiv Moskva,2018-19
22,Manchester City FC,2018-19
23,Manchester United FC,2018-19
24,Olympique Lyonnais,2018-19
25,PSV,2018-19
26,Paris Saint-Germain FC,2018-19
27,Real Madrid CF,2018-19
28,SL Benfica,2018-19
29,SSC Napoli,2018-19
30,Tottenham Hotspur FC,2018-19
31,Valencia CF,2018-19
32,Viktoria Plzeň,2018-19
