id,date,matchday,home_team,away_team,home_score,away_score,status
551981,2025-09-16T16:45:00Z,1,Athletic Club,Arsenal FC,0.0,2.0,FINISHED
552049,2025-09-16T16:45:00Z,1,PSV,Royale Union Saint-Gilloise,1.0,3.0,FINISHED
551927,2025-09-16T19:00:00Z,1,Real Madrid CF,Olympique de Marseille,2.0,1.0,FINISHED
551941,2025-09-16T19:00:00Z,1,Juventus FC,Borussia Dortmund,4.0,4.0,FINISHED
551991,2025-09-16T19:00:00Z,1,SL Benfica,Qarabağ Ağdam FK,2.0,3.0,FINISHED
552012,2025-09-16T19:00:00Z,1,Tottenham Hotspur FC,Villarreal CF,1.0,0.0,FINISHED
552023,2025-09-17T16:45:00Z,1,SK Slavia Praha,FK Bodø/Glimt,2.0,2.0,FINISHED
552031,2025-09-17T16:45:00Z,1,PAE Olympiakos SFP,Paphos FC,0.0,0.0,FINISHED
551908,2025-09-17T19:00:00Z,1,FC Bayern München,Chelsea FC,3.0,1.0,FINISHED
551936,2025-09-17T19:00:00Z,1,AFC Ajax,FC Internazionale Milano,0.0,2.0,FINISHED
551946,2025-09-17T19:00:00Z,1,Liverpool FC,Club Atlético de Madrid,3.0,2.0,FINISHED
551959,2025-09-17T19:00:00Z,1,Paris Saint-Germain FC,Atalanta BC,4.0,0.0,FINISHED
551975,2025-09-18T16:45:00Z,1,FC København,Bayer 04 Leverkusen,2.0,2.0,FINISHED
551995,2025-09-18T16:45:00Z,1,Club Brugge KV,AS Monaco FC,4.0,1.0,FINISHED
551958,2025-09-18T19:00:00Z,1,Newcastle United FC,FC Barcelona,1.0,2.0,FINISHED
551965,2025-09-18T19:00:00Z,1,Manchester City FC,SSC Napoli,2.0,0.0,FINISHED
552000,2025-09-18T19:00:00Z,1,Eintracht Frankfurt,Galatasaray SK,5.0,1.0,FINISHED
552027,2025-09-18T19:00:00Z,1,Sporting Clube de Portugal,FK Kairat,4.0,1.0,FINISHED
551930,2025-09-30T16:45:00Z,2,FK Kairat,Real Madrid CF,0.0,5.0,FINISHED
551982,2025-09-30T16:45:00Z,2,Atalanta BC,Club Brugge KV,2.0,1.0,FINISHED
551915,2025-09-30T19:00:00Z,2,Paphos FC,FC Bayern München,1.0,5.0,FINISHED
551917,2025-09-30T19:00:00Z,2,Chelsea FC,SL Benfica,1.0,0.0,FINISHED
551935,2025-09-30T19:00:00Z,2,FC Internazionale Milano,SK Slavia Praha,3.0,0.0,FINISHED
551951,2025-09-30T19:00:00Z,2,Galatasaray SK,Liverpool FC,1.0,0.0,FINISHED
551997,2025-09-30T19:00:00Z,2,Club Atlético de Madrid,Eintracht Frankfurt,5.0,1.0,FINISHED
552015,2025-09-30T19:00:00Z,2,Olympique de Marseille,AFC Ajax,4.0,0.0,FINISHED
552020,2025-09-30T19:00:00Z,2,FK Bodø/Glimt,Tottenham Hotspur FC,2.0,2.0,FINISHED
552039,2025-10-01T16:45:00Z,2,Qarabağ Ağdam FK,FC København,2.0,0.0,FINISHED
552044,2025-10-01T16:45:00Z,2,Royale Union Saint-Gilloise,Newcastle United FC,0.0,4.0,FINISHED
551944,2025-10-01T19:00:00Z,2,Borussia Dortmund,Athletic Club,4.0,1.0,FINISHED
551952,2025-10-01T19:00:00Z,2,FC Barcelona,Paris Saint-Germain FC,1.0,2.0,FINISHED
551968,2025-10-01T19:00:00Z,2,AS Monaco FC,Manchester City FC,2.0,2.0,FINISHED
551972,2025-10-01T19:00:00Z,2,Bayer 04 Leverkusen,PSV,1.0,1.0,FINISHED
551978,2025-10-01T19:00:00Z,2,Arsenal FC,PAE Olympiakos SFP,2.0,0.0,FINISHED
552002,2025-10-01T19:00:00Z,2,Villarreal CF,Juventus FC,2.0,2.0,FINISHED
552026,2025-10-01T19:00:00Z,2,SSC Napoli,Sporting Clube de Portugal,2.0,1.0,FINISHED
551955,2025-10-21T16:45:00Z,3,FC Barcelona,PAE Olympiakos SFP,6.0,1.0,FINISHED
552045,2025-10-21T16:45:00Z,3,FK Kairat,Paphos FC,0.0,0.0,FINISHED
551938,2025-10-21T19:00:00Z,3,Royale Union Saint-Gilloise,FC Internazionale Milano,0.0,4.0,FINISHED
551945,2025-10-21T19:00:00Z,3,FC København,Borussia Dortmund,2.0,4.0,FINISHED
551960,2025-10-21T19:00:00Z,3,Bayer 04 Leverkusen,Paris Saint-Germain FC,2.0,7.0,FINISHED
551964,2025-10-21T19:00:00Z,3,Villarreal CF,Manchester City FC,0.0,2.0,FINISHED
551976,2025-10-21T19:00:00Z,3,Arsenal FC,Club Atlético de Madrid,4.0,0.0,FINISHED
551992,2025-10-21T19:00:00Z,3,Newcastle United FC,SL Benfica,3.0,0.0,FINISHED
552048,2025-10-21T19:00:00Z,3,PSV,SSC Napoli,6.0,2.0,FINISHED
552025,2025-10-22T16:45:00Z,3,Galatasaray SK,FK Bodø/Glimt,3.0,1.0,FINISHED
552040,2025-10-22T16:45:00Z,3,Athletic Club,Qarabağ Ağdam FK,3.0,1.0,FINISHED
551910,2025-10-22T19:00:00Z,3,FC Bayern München,Club Brugge KV,4.0,0.0,FINISHED
551919,2025-10-22T19:00:00Z,3,Chelsea FC,AFC Ajax,5.0,1.0,FINISHED
551925,2025-10-22T19:00:00Z,3,Real Madrid CF,Juventus FC,1.0,0.0,FINISHED
