id,date,matchday,home_team,away_team,home_score,away_score,status
1771528444058,2021-09-14T18:45:00Z,1,BSC Young Boys,Manchester United FC,2.0,1.0,FINISHED
1771528444072,2021-09-14T18:45:00Z,1,Sevilla FC,FC Red Bull Salzburg,1.0,1.0,FINISHED
1771528444043,2021-09-14T21:00:00Z,1,FC Barcelona,FC Bayern München,0.0,3.0,FINISHED
1771528444044,2021-09-14T21:00:00Z,1,Dinamo Kiev,SL Benfica,0.0,0.0,FINISHED
1771528444059,2021-09-14T21:00:00Z,1,Villarreal CF,Atalanta BC,2.0,2.0,FINISHED
1771528444074,2021-09-14T21:00:00Z,1,Lille OSC,VfL Wolfsburg,0.0,0.0,FINISHED
1771528444087,2021-09-14T21:00:00Z,1,Chelsea FC,Zenit St. Petersburg,1.0,0.0,FINISHED
1771528444088,2021-09-14T21:00:00Z,1,Malmö FF,Juventus FC,0.0,3.0,FINISHED
1771528444013,2021-09-15T18:45:00Z,1,Beşiktaş,Borussia Dortmund,1.0,2.0,FINISHED
1771528444028,2021-09-15T18:45:00Z,1,FC Sheriff,FK Shakhtar Donetsk,2.0,0.0,FINISHED
1771528443983,2021-09-15T21:00:00Z,1,Manchester City FC,RB Leipzig,6.0,3.0,FINISHED
1771528443985,2021-09-15T21:00:00Z,1,Club Brugge KV,Paris Saint-Germain FC,1.0,1.0,FINISHED
1771528443998,2021-09-15T21:00:00Z,1,Club Atlético de Madrid,FC Porto,0.0,0.0,FINISHED
1771528443999,2021-09-15T21:00:00Z,1,Liverpool FC,AC Milan,3.0,2.0,FINISHED
1771528444014,2021-09-15T21:00:00Z,1,Sporting Clube de Portugal,AFC Ajax,1.0,5.0,FINISHED
1771528444029,2021-09-15T21:00:00Z,1,FC Internazionale Milano,Real Madrid CF,0.0,1.0,FINISHED
1771528444015,2021-09-28T18:45:00Z,1,AFC Ajax,Beşiktaş,2.0,0.0,FINISHED
1771528444030,2021-09-28T18:45:00Z,1,FK Shakhtar Donetsk,FC Internazionale Milano,0.0,0.0,FINISHED
1771528443986,2021-09-28T21:00:00Z,1,Paris Saint-Germain FC,Manchester City FC,2.0,0.0,FINISHED
1771528443987,2021-09-28T21:00:00Z,1,RB Leipzig,Club Brugge KV,1.0,2.0,FINISHED
1771528444001,2021-09-28T21:00:00Z,1,FC Porto,Liverpool FC,1.0,5.0,FINISHED
1771528444002,2021-09-28T21:00:00Z,1,AC Milan,Club Atlético de Madrid,1.0,2.0,FINISHED
1771528444017,2021-09-28T21:00:00Z,1,Borussia Dortmund,Sporting Clube de Portugal,1.0,0.0,FINISHED
1771528444031,2021-09-28T21:00:00Z,1,Real Madrid CF,FC Sheriff,1.0,2.0,FINISHED
1771528444060,2021-09-29T18:45:00Z,1,Atalanta BC,BSC Young Boys,1.0,0.0,FINISHED
1771528444090,2021-09-29T18:45:00Z,1,Zenit St. Petersburg,Malmö FF,4.0,0.0,FINISHED
1771528444045,2021-09-29T21:00:00Z,1,SL Benfica,FC Barcelona,3.0,0.0,FINISHED
1771528444047,2021-09-29T21:00:00Z,1,FC Bayern München,Dinamo Kiev,5.0,0.0,FINISHED
1771528444061,2021-09-29T21:00:00Z,1,Manchester United FC,Villarreal CF,2.0,1.0,FINISHED
1771528444075,2021-09-29T21:00:00Z,1,FC Red Bull Salzburg,Lille OSC,2.0,1.0,FINISHED
1771528444076,2021-09-29T21:00:00Z,1,VfL Wolfsburg,Sevilla FC,1.0,1.0,FINISHED
1771528444091,2021-09-29T21:00:00Z,1,Juventus FC,Chelsea FC,1.0,0.0,FINISHED
1771528443988,2021-10-19T18:45:00Z,1,Club Brugge KV,Manchester City FC,1.0,5.0,FINISHED
1771528444018,2021-10-19T18:45:00Z,1,Beşiktaş,Sporting Clube de Portugal,1.0,4.0,FINISHED
1771528443990,2021-10-19T21:00:00Z,1,Paris Saint-Germain FC,RB Leipzig,3.0,2.0,FINISHED
1771528444003,2021-10-19T21:00:00Z,1,Club Atlético de Madrid,Liverpool FC,2.0,3.0,FINISHED
1771528444004,2021-10-19T21:00:00Z,1,FC Porto,AC Milan,1.0,0.0,FINISHED
1771528444019,2021-10-19T21:00:00Z,1,AFC Ajax,Borussia Dortmund,4.0,0.0,FINISHED
1771528444033,2021-10-19T21:00:00Z,1,FK Shakhtar Donetsk,Real Madrid CF,0.0,5.0,FINISHED
1771528444034,2021-10-19T21:00:00Z,1,FC Internazionale Milano,FC Sheriff,3.0,1.0,FINISHED
1771528444048,2021-10-20T18:45:00Z,1,FC Barcelona,Dinamo Kiev,1.0,0.0,FINISHED
1771528444077,2021-10-20T18:45:00Z,1,FC Red Bull Salzburg,VfL Wolfsburg,3.0,1.0,FINISHED
1771528444049,2021-10-20T21:00:00Z,1,SL Benfica,FC Bayern München,0.0,4.0,FINISHED
1771528444063,2021-10-20T21:00:00Z,1,Manchester United FC,Atalanta BC,3.0,2.0,FINISHED
1771528444064,2021-10-20T21:00:00Z,1,BSC Young Boys,Villarreal CF,1.0,4.0,FINISHED
1771528444079,2021-10-20T21:00:00Z,1,Lille OSC,Sevilla FC,0.0,0.0,FINISHED
1771528444092,2021-10-20T21:00:00Z,1,Zenit St. Petersburg,Juventus FC,0.0,1.0,FINISHED
1771528444093,2021-10-20T21:00:00Z,1,Chelsea FC,Malmö FF,4.0,0.0,FINISHED
1771528444080,2021-11-02T18:45:00Z,1,VfL Wolfsburg,FC Red Bull Salzburg,2.0,1.0,FINISHED
1771528444095,2021-11-02T18:45:00Z,1,Malmö FF,Chelsea FC,0.0,1.0,FINISHED
1771528444050,2021-11-02T21:00:00Z,1,FC Bayern München,SL Benfica,5.0,2.0,FINISHED
1771528444051,2021-11-02T21:00:00Z,1,Dinamo Kiev,FC Barcelona,0.0,1.0,FINISHED
1771528444065,2021-11-02T21:00:00Z,1,Atalanta BC,Manchester United FC,2.0,2.0,FINISHED
1771528444066,2021-11-02T21:00:00Z,1,Villarreal CF,BSC Young Boys,2.0,0.0,FINISHED
1771528444081,2021-11-02T21:00:00Z,1,Sevilla FC,Lille OSC,1.0,2.0,FINISHED
1771528444096,2021-11-02T21:00:00Z,1,Juventus FC,Zenit St. Petersburg,4.0,2.0,FINISHED
1771528444006,2021-11-03T18:45:00Z,1,AC Milan,FC Porto,1.0,1.0,FINISHED
1771528444035,2021-11-03T18:45:00Z,1,Real Madrid CF,FK Shakhtar Donetsk,2.0,1.0,FINISHED
1771528443991,2021-11-03T21:00:00Z,1,RB Leipzig,Paris Saint-Germain FC,2.0,2.0,FINISHED
1771528443992,2021-11-03T21:00:00Z,1,Manchester City FC,Club Brugge KV,4.0,1.0,FINISHED
1771528444007,2021-11-03T21:00:00Z,1,Liverpool FC,Club Atlético de Madrid,2.0,0.0,FINISHED
1771528444020,2021-11-03T21:00:00Z,1,Borussia Dortmund,AFC Ajax,1.0,3.0,FINISHED
1771528444022,2021-11-03T21:00:00Z,1,Sporting Clube de Portugal,Beşiktaş,4.0,0.0,FINISHED
1771528444036,2021-11-03T21:00:00Z,1,FC Sheriff,FC Internazionale Milano,1.0,3.0,FINISHED
1771528444053,2021-11-23T18:45:00Z,1,Dinamo Kiev,FC Bayern München,1.0,2.0,FINISHED
1771528444067,2021-11-23T18:45:00Z,1,Villarreal CF,Manchester United FC,0.0,2.0,FINISHED
1771528444054,2021-11-23T21:00:00Z,1,FC Barcelona,SL Benfica,0.0,0.0,FINISHED
1771528444069,2021-11-23T21:00:00Z,1,BSC Young Boys,Atalanta BC,3.0,3.0,FINISHED
1771528444082,2021-11-23T21:00:00Z,1,Lille OSC,FC Red Bull Salzburg,1.0,0.0,FINISHED
1771528444083,2021-11-23T21:00:00Z,1,Sevilla FC,VfL Wolfsburg,2.0,0.0,FINISHED
1771528444097,2021-11-23T21:00:00Z,1,Chelsea FC,Juventus FC,4.0,0.0,FINISHED
1771528444098,2021-11-23T21:00:00Z,1,Malmö FF,Zenit St. Petersburg,1.0,1.0,FINISHED
1771528444023,2021-11-24T18:45:00Z,1,Beşiktaş,AFC Ajax,1.0,2.0,FINISHED
1771528444038,2021-11-24T18:45:00Z,1,FC Internazionale Milano,FK Shakhtar Donetsk,2.0,0.0,FINISHED
1771528443993,2021-11-24T21:00:00Z,1,Manchester City FC,Paris Saint-Germain FC,2.0,1.0,FINISHED
1771528443994,2021-11-24T21:00:00Z,1,Club Brugge KV,RB Leipzig,0.0,5.0,FINISHED
1771528444008,2021-11-24T21:00:00Z,1,Liverpool FC,FC Porto,2.0,0.0,FINISHED
1771528444009,2021-11-24T21:00:00Z,1,Club Atlético de Madrid,AC Milan,0.0,1.0,FINISHED
1771528444024,2021-11-24T21:00:00Z,1,Sporting Clube de Portugal,Borussia Dortmund,3.0,1.0,FINISHED
1771528444039,2021-11-24T21:00:00Z,1,FC Sheriff,Real Madrid CF,0.0,3.0,FINISHED
1771528443996,2021-12-07T18:45:00Z,1,RB Leipzig,Manchester City FC,2.0,1.0,FINISHED
1771528443997,2021-12-07T18:45:00Z,1,Paris Saint-Germain FC,Club Brugge KV,4.0,1.0,FINISHED
1771528444011,2021-12-07T21:00:00Z,1,FC Porto,Club Atlético de Madrid,1.0,3.0,FINISHED
1771528444012,2021-12-07T21:00:00Z,1,AC Milan,Liverpool FC,1.0,2.0,FINISHED
1771528444025,2021-12-07T21:00:00Z,1,AFC Ajax,Sporting Clube de Portugal,4.0,2.0,FINISHED
1771528444027,2021-12-07T21:00:00Z,1,Borussia Dortmund,Beşiktaş,5.0,0.0,FINISHED
1771528444040,2021-12-07T21:00:00Z,1,Real Madrid CF,FC Internazionale Milano,2.0,0.0,FINISHED
1771528444041,2021-12-07T21:00:00Z,1,FK Shakhtar Donetsk,FC Sheriff,1.0,1.0,FINISHED
1771528444100,2021-12-08T18:45:00Z,1,Zenit St. Petersburg,Chelsea FC,3.0,3.0,FINISHED
1771528444101,2021-12-08T18:45:00Z,1,Juventus FC,Malmö FF,1.0,0.0,FINISHED
1771528444055,2021-12-08T21:00:00Z,1,FC Bayern München,FC Barcelona,3.0,0.0,FINISHED
1771528444056,2021-12-08T21:00:00Z,1,SL Benfica,Dinamo Kiev,2.0,0.0,FINISHED
1771528444070,2021-12-08T21:00:00Z,1,Manchester United FC,BSC Young Boys,1.0,1.0,FINISHED
1771528444085,2021-12-08T21:00:00Z,1,FC Red Bull Salzburg,Sevilla FC,1.0,0.0,FINISHED
1771528444086,2021-12-08T21:00:00Z,1,VfL Wolfsburg,Lille OSC,1.0,3.0,FINISHED
1771528444071,2021-12-09T19:00:00Z,1,Atalanta BC,Villarreal CF,2.0,3.0,FINISHED
1771528444102,2022-02-15T21:00:00Z,1,Sporting Clube de Portugal,Manchester City FC,0.0,5.0,FINISHED
1771528444103,2022-02-15T21:00:00Z,1,Paris Saint-Germain FC,Real Madrid CF,1.0,0.0,FINISHED
1771528444104,2022-02-16T21:00:00Z,1,FC Red Bull Salzburg,FC Bayern München,1.0,1.0,FINISHED
1771528444106,2022-02-16T21:00:00Z,1,FC Internazionale Milano,Liverpool FC,0.0,2.0,FINISHED
1771528444107,2022-02-22T21:00:00Z,1,Chelsea FC,Lille OSC,2.0,0.0,FINISHED
1771528444108,2022-02-22T21:00:00Z,1,Villarreal CF,Juventus FC,1.0,1.0,FINISHED
1771528444109,2022-02-23T21:00:00Z,1,SL Benfica,AFC Ajax,2.0,2.0,FINISHED
1771528444111,2022-02-23T21:00:00Z,1,Club Atlético de Madrid,Manchester United FC,1.0,1.0,FINISHED
1771528444112,2022-03-08T21:00:00Z,1,FC Bayern München,FC Red Bull Salzburg,7.0,1.0,FINISHED
1771528444113,2022-03-08T21:00:00Z,1,Liverpool FC,FC Internazionale Milano,0.0,1.0,FINISHED
1771528444114,2022-03-09T21:00:00Z,1,Manchester City FC,Sporting Clube de Portugal,0.0,0.0,FINISHED
1771528444115,2022-03-09T21:00:00Z,1,Real Madrid CF,Paris Saint-Germain FC,3.0,1.0,FINISHED
1771528444117,2022-03-15T21:00:00Z,1,AFC Ajax,SL Benfica,0.0,1.0,FINISHED
1771528444118,2022-03-15T21:00:00Z,1,Manchester United FC,Club Atlético de Madrid,0.0,1.0,FINISHED
1771528444119,2022-03-16T21:00:00Z,1,Lille OSC,Chelsea FC,1.0,2.0,FINISHED
1771528444120,2022-03-16T21:00:00Z,1,Juventus FC,Villarreal CF,0.0,3.0,FINISHED
1771528444122,2022-04-05T21:00:00Z,1,Manchester City FC,Club Atlético de Madrid,1.0,0.0,FINISHED
1771528444123,2022-04-05T21:00:00Z,1,SL Benfica,Liverpool FC,1.0,3.0,FINISHED
1771528444124,2022-04-06T21:00:00Z,1,Chelsea FC,Real Madrid CF,1.0,3.0,FINISHED
1771528444125,2022-04-06T21:00:00Z,1,Villarreal CF,FC Bayern München,1.0,0.0,FINISHED
1771528444127,2022-04-12T21:00:00Z,1,Real Madrid CF,Chelsea FC,2.0,3.0,FINISHED
1771528444128,2022-04-12T21:00:00Z,1,FC Bayern München,Villarreal CF,1.0,1.0,FINISHED
1771528444129,2022-04-13T21:00:00Z,1,Club Atlético de Madrid,Manchester City FC,0.0,0.0,FINISHED
1771528444130,2022-04-13T21:00:00Z,1,Liverpool FC,SL Benfica,3.0,3.0,FINISHED
1771528444132,2022-04-26T21:00:00Z,1,Manchester City FC,Real Madrid CF,4.0,3.0,FINISHED
1771528444133,2022-04-27T21:00:00Z,1,Liverpool FC,Villarreal CF,2.0,0.0,FINISHED
