id,team_name,season
1,AC Milan,2022-23
2,AFC Ajax,2022-23
3,Bayer 04 Leverkusen,2022-23
4,Bayern München,2022-23
5,Borussia Dortmund,2022-23
6,Celtic FC,2022-23
7,Chelsea FC,2022-23
8,Club Atlético de Madrid,2022-23
9,Club Brugge KV,2022-23
10,Eintracht Frankfurt,2022-23
11,FC Barcelona,2022-23
12,FC Internazionale Milano,2022-23
13,FC København,2022-23
14,FC Porto,2022-23
15,FC Red Bull Salzburg,2022-23
16,FK Shakhtar Donetsk,2022-23
17,GNK Dinamo Zagreb,2022-23
18,Juventus FC,2022-23
19,Liverpool FC,2022-23
20,Maccabi Haifa,2022-23
21,Manchester City FC,2022-23
22,Olympique de Marseille,2022-23
23,Paris Saint-Germain FC,2022-23
24,RB Leipzig,2022-23
25,Rangers FC,2022-23
26,Real Madrid CF,2022-23
27,SL Benfica,2022-23
28,SSC Napoli,2022-23
29,Sevilla FC,2022-23
30,Sporting Clube de Portugal,2022-23
31,Tottenham Hotspur FC,2022-23
32,Viktoria Plzeň,2022-23
