id,date,matchday,home_team,away_team,home_score,away_score,status
1771528444316,2014-09-16T20:45:00Z,1,Olympiakos Piraeus,Club Atlético de Madrid,3.0,2.0,FINISHED
1771528444317,2014-09-16T20:45:00Z,1,Juventus FC,Malmö FF,2.0,0.0,FINISHED
1771528444331,2014-09-16T20:45:00Z,1,Real Madrid CF,FC Basel 1893,5.0,1.0,FINISHED
1771528444332,2014-09-16T20:45:00Z,1,Liverpool FC,PFC Ludogorets Razgrad,2.0,1.0,FINISHED
1771528444346,2014-09-16T20:45:00Z,1,AS Monaco FC,Bayer 04 Leverkusen,1.0,0.0,FINISHED
1771528444347,2014-09-16T20:45:00Z,1,SL Benfica,Zenit St. Petersburg,0.0,2.0,FINISHED
1771528444361,2014-09-16T20:45:00Z,1,Borussia Dortmund,Arsenal FC,2.0,0.0,FINISHED
1771528444362,2014-09-16T20:45:00Z,1,Galatasaray SK,RSC Anderlecht,1.0,1.0,FINISHED
1771528444376,2014-09-17T20:45:00Z,1,AS Roma,CSKA Moskva,5.0,1.0,FINISHED
1771528444377,2014-09-17T20:45:00Z,1,FC Bayern München,Manchester City FC,1.0,0.0,FINISHED
1771528444391,2014-09-17T20:45:00Z,1,AFC Ajax,Paris Saint-Germain FC,1.0,1.0,FINISHED
1771528444392,2014-09-17T20:45:00Z,1,FC Barcelona,APOEL Nikosia,1.0,0.0,FINISHED
1771528444406,2014-09-17T20:45:00Z,1,Chelsea FC,FC Schalke 04,1.0,1.0,FINISHED
1771528444407,2014-09-17T20:45:00Z,1,NK Maribor,Sporting Clube de Portugal,1.0,1.0,FINISHED
1771528444420,2014-09-17T20:45:00Z,1,Athletic Club,FK Shakhtar Donetsk,0.0,0.0,FINISHED
1771528444422,2014-09-17T20:45:00Z,1,FC Porto,BATE Borisov,6.0,0.0,FINISHED
1771528444378,2014-09-30T18:00:00Z,1,CSKA Moskva,FC Bayern München,0.0,1.0,FINISHED
1771528444379,2014-09-30T20:45:00Z,1,Manchester City FC,AS Roma,1.0,1.0,FINISHED
1771528444393,2014-09-30T20:45:00Z,1,APOEL Nikosia,AFC Ajax,1.0,1.0,FINISHED
1771528444394,2014-09-30T20:45:00Z,1,Paris Saint-Germain FC,FC Barcelona,3.0,2.0,FINISHED
1771528444408,2014-09-30T20:45:00Z,1,Sporting Clube de Portugal,Chelsea FC,0.0,1.0,FINISHED
1771528444409,2014-09-30T20:45:00Z,1,FC Schalke 04,NK Maribor,1.0,1.0,FINISHED
1771528444423,2014-09-30T20:45:00Z,1,BATE Borisov,Athletic Club,2.0,1.0,FINISHED
1771528444424,2014-09-30T20:45:00Z,1,FK Shakhtar Donetsk,FC Porto,2.0,2.0,FINISHED
1771528444348,2014-10-01T18:00:00Z,1,Zenit St. Petersburg,AS Monaco FC,0.0,0.0,FINISHED
1771528444318,2014-10-01T20:45:00Z,1,Club Atlético de Madrid,Juventus FC,1.0,0.0,FINISHED
1771528444319,2014-10-01T20:45:00Z,1,Malmö FF,Olympiakos Piraeus,2.0,0.0,FINISHED
1771528444333,2014-10-01T20:45:00Z,1,FC Basel 1893,Liverpool FC,1.0,0.0,FINISHED
1771528444334,2014-10-01T20:45:00Z,1,PFC Ludogorets Razgrad,Real Madrid CF,1.0,2.0,FINISHED
1771528444349,2014-10-01T20:45:00Z,1,Bayer 04 Leverkusen,SL Benfica,3.0,1.0,FINISHED
1771528444363,2014-10-01T20:45:00Z,1,Arsenal FC,Galatasaray SK,4.0,1.0,FINISHED
