id,team_name,season
1,AC Milan,2024-25
2,AC Sparta Praha,2024-25
3,APOEL Nikosia,2024-25
4,AS Monaco FC,2024-25
5,Arsenal FC,2024-25
6,Aston Villa FC,2024-25
7,Atalanta BC,2024-25
8,BSC Young Boys,2024-25
9,Bayer 04 Leverkusen,2024-25
10,Bologna FC 1909,2024-25
11,Borac Banja Luka,2024-25
12,Borussia Dortmund,2024-25
13,CS Petrocub,2024-25
14,Celtic FC,2024-25
15,Club Atlético de Madrid,2024-25
16,Club Brugge KV,2024-25
17,Dinamo Batumi,2024-25
18,Dinamo Kiev,2024-25
19,Dinamo Minsk,2024-25
20,Egnatia Rrogozhine,2024-25
21,FC Barcelona,2024-25
22,FC Bayern München,2024-25
23,FC Differdange 03,2024-25
24,FC Flora,2024-25
25,FC Internazionale Milano,2024-25
26,FC Lugano,2024-25
27,FC Midtjylland,2024-25
28,FC Red Bull Salzburg,2024-25
29,FC Struga,2024-25
30,FC Twente,2024-25
31,FCSB,2024-25
32,FK Bodø/Glimt,2024-25
33,FK Crvena Zvezda,2024-25
34,FK Dečić Tuzi,2024-25
35,FK Ordabasy,2024-25
36,FK Panevėžys,2024-25
37,FK RFS,2024-25
38,FK Shakhtar Donetsk,2024-25
39,Fenerbahçe,2024-25
40,Ferencvárosi TC,2024-25
41,Feyenoord Rotterdam,2024-25
42,GNK Dinamo Zagreb,2024-25
43,Galatasaray SK,2024-25
44,Girona FC,2024-25
45,HJK Helsinki,2024-25
46,Hamrun Spartans,2024-25
47,Jagiellonia Białystok,2024-25
48,Juventus FC,2024-25
49,KF Ballkani,2024-25
50,KÍ Klaksvík,2024-25
51,Larne FC,2024-25
52,Lille OSC,2024-25
53,Lincoln Red Imps,2024-25
54,Liverpool FC,2024-25
55,Maccabi Tel Aviv,2024-25
56,Malmö FF,2024-25
57,Manchester City FC,2024-25
58,NK Celje,2024-25
59,PAOK Saloniki,2024-25
60,PFC Ludogorets Razgrad,2024-25
61,PSV,2024-25
62,Paris Saint-Germain FC,2024-25
63,Partizan,2024-25
64,Pyunik FC,2024-25
65,Qarabağ FK,2024-25
66,RB Leipzig,2024-25
67,Rangers FC,2024-25
68,Real Madrid CF,2024-25
69,SK Slavia Praha,2024-25
70,SK Sturm Graz,2024-25
71,SL Benfica,2024-25
72,SS Virtus,2024-25
73,Shamrock Rovers,2024-25
74,Slovan Bratislava,2024-25
75,Sporting Clube de Portugal,2024-25
76,Stade Brestois 29,2024-25
77,The New Saints,2024-25
78,UE Santa Coloma,2024-25
79,Union Saint-Gilloise,2024-25
80,VfB Stuttgart,2024-25
81,Víkingur Reykjavík,2024-25
82,ŠK Slovan Bratislava,2024-25
