id,team_name,season
1,AC Milan,2012-13
2,AFC Ajax,2012-13
3,Arsenal FC,2012-13
4,BATE Borisov,2012-13
5,Bayern München,2012-13
6,Borussia Dortmund,2012-13
7,CFR Cluj,2012-13
8,Celtic FC,2012-13
9,Chelsea FC,2012-13
10,Dinamo Kiev,2012-13
11,FC Barcelona,2012-13
12,FC Nordsjælland,2012-13
13,FC Porto,2012-13
14,FC Schalke 04,2012-13
15,FK Shakhtar Donetsk,2012-13
16,GNK Dinamo Zagreb,2012-13
17,Galatasaray SK,2012-13
18,Juventus FC,2012-13
19,Lille OSC,2012-13
20,Manchester City FC,2012-13
21,Manchester United FC,2012-13
22,Montpellier HSC,2012-13
23,Málaga CF,2012-13
24,Olympiakos Piraeus,2012-13
25,Paris Saint-Germain FC,2012-13
26,RSC Anderlecht,2012-13
27,Real Madrid CF,2012-13
28,SL Benfica,2012-13
29,Spartak Moskva,2012-13
30,Sporting Clube de Braga,2012-13
31,Valencia CF,2012-13
32,Zenit St. Petersburg,2012-13
