id,team_name,season
1,AFC Ajax,2019-20
2,Atalanta BC,2019-20
3,Bayer 04 Leverkusen,2019-20
4,Bayern München,2019-20
5,Borussia Dortmund,2019-20
6,Chelsea FC,2019-20
7,Club Atlético de Madrid,2019-20
8,Club Brugge KV,2019-20
9,FC Barcelona,2019-20
10,FC Internazionale Milano,2019-20
11,FC Red Bull Salzburg,2019-20
12,FK Crvena Zvezda,2019-20
13,FK Shakhtar Donetsk,2019-20
14,GNK Dinamo Zagreb,2019-20
15,Galatasaray SK,2019-20
16,Juventus FC,2019-20
17,KRC Genk,2019-20
18,Lille OSC,2019-20
19,Liverpool FC,2019-20
20,Lokomotiv Moskva,2019-20
21,Manchester City FC,2019-20
22,Olympiakos Piraeus,2019-20
23,Olympique Lyonnais,2019-20
24,Paris Saint-Germain FC,2019-20
25,RB Leipzig,2019-20
26,Real Madrid CF,2019-20
27,SK Slavia Praha,2019-20
28,SL Benfica,2019-20
29,SSC Napoli,2019-20
30,Tottenham Hotspur FC,2019-20
31,Valencia CF,2019-20
32,Zenit St. Petersburg,2019-20
