id,team_name,season
1,AC Milan,2021-22
2,AFC Ajax,2021-22
3,Atalanta BC,2021-22
4,BSC Young Boys,2021-22
5,Bayern München,2021-22
6,Beşiktaş,2021-22
7,Borussia Dortmund,2021-22
8,Chelsea FC,2021-22
9,Club Atlético de Madrid,2021-22
10,Club Brugge KV,2021-22
11,Dinamo Kiev,2021-22
12,FC Barcelona,2021-22
13,FC Internazionale Milano,2021-22
14,FC Porto,2021-22
15,FC Red Bull Salzburg,2021-22
16,FC Sheriff,2021-22
17,FK Shakhtar Donetsk,2021-22
18,Juventus FC,2021-22
19,Lille OSC,2021-22
20,Liverpool FC,2021-22
21,Malmö FF,2021-22
22,Manchester City FC,2021-22
23,Manchester United FC,2021-22
24,Paris Saint-Germain FC,2021-22
25,RB Leipzig,2021-22
26,Real Madrid CF,2021-22
27,SL Benfica,2021-22
28,Sevilla FC,2021-22
29,Sporting Clube de Portugal,2021-22
30,VfL Wolfsburg,2021-22
31,Villarreal CF,2021-22
32,Zenit St. Petersburg,2021-22
