id,team_name,season
1,AS Monaco FC,2016-17
2,Arsenal FC,2016-17
3,Bayer 04 Leverkusen,2016-17
4,Bayern München,2016-17
5,Beşiktaş,2016-17
6,Bor. Mönchengladbach,2016-17
7,Borussia Dortmund,2016-17
8,CSKA Moskva,2016-17
9,Celtic FC,2016-17
10,Club Atlético de Madrid,2016-17
11,Club Brugge KV,2016-17
12,Dinamo Kiev,2016-17
13,FC Barcelona,2016-17
14,FC Basel 1893,2016-17
15,FC København,2016-17
16,FC Porto,2016-17
17,FK Rostov,2016-17
18,GNK Dinamo Zagreb,2016-17
19,Juventus FC,2016-17
20,Legia Warszawa,2016-17
21,Leicester City,2016-17
22,Manchester City FC,2016-17
23,Olympique Lyonnais,2016-17
24,PFC Ludogorets Razgrad,2016-17
25,PSV,2016-17
26,Paris Saint-Germain FC,2016-17
27,Real Madrid CF,2016-17
28,SL Benfica,2016-17
29,SSC Napoli,2016-17
30,Sevilla FC,2016-17
31,Sporting Clube de Portugal,2016-17
32,Tottenham Hotspur FC,2016-17
