id,team_name,season
1,1. FC Union Berlin,2023-24
2,AC Milan,2023-24
3,Arsenal FC,2023-24
4,BSC Young Boys,2023-24
5,Borussia Dortmund,2023-24
6,Celtic FC,2023-24
7,Club Atlético de Madrid,2023-24
8,FC Barcelona,2023-24
9,FC Bayern München,2023-24
10,FC Internazionale Milano,2023-24
11,FC København,2023-24
12,FC Porto,2023-24
13,FC Red Bull Salzburg,2023-24
14,FK Crvena Zvezda,2023-24
15,FK Shakhtar Donetsk,2023-24
16,Feyenoord Rotterdam,2023-24
17,Galatasaray SK,2023-24
18,Manchester City FC,2023-24
19,Manchester United FC,2023-24
20,Newcastle United FC,2023-24
21,PSV,2023-24
22,Paris Saint-Germain FC,2023-24
23,RB Leipzig,2023-24
24,Racing Club de Lens,2023-24
25,Real Madrid CF,2023-24
26,Real Sociedad de Fútbol,2023-24
27,Royal Antwerp FC,2023-24
28,SL Benfica,2023-24
29,SS Lazio,2023-24
30,SSC Napoli,2023-24
31,Sevilla FC,2023-24
32,Sporting Clube de Braga,2023-24
