id,team_name,season
1,AC Milan,2013-14
2,AFC Ajax,2013-14
3,Arsenal FC,2013-14
4,Austria Wien,2013-14
5,Bayer 04 Leverkusen,2013-14
6,Bayern München,2013-14
7,Borussia Dortmund,2013-14
8,CSKA Moskva,2013-14
9,Celtic FC,2013-14
10,Chelsea FC,2013-14
11,Club Atlético de Madrid,2013-14
12,FC Barcelona,2013-14
13,FC Basel 1893,2013-14
14,FC København,2013-14
15,FC Porto,2013-14
16,FC Schalke 04,2013-14
17,FC Steaua Bucureşti,2013-14
18,FK Shakhtar Donetsk,2013-14
19,Galatasaray SK,2013-14
20,Juventus FC,2013-14
21,Manchester City FC,2013-14
22,Manchester United FC,2013-14
23,Olympiakos Piraeus,2013-14
24,Olympique de Marseille,2013-14
25,Paris Saint-Germain FC,2013-14
26,RSC Anderlecht,2013-14
27,Real Madrid CF,2013-14
28,Real Sociedad,2013-14
29,SL Benfica,2013-14
30,SSC Napoli,2013-14
31,Viktoria Plzeň,2013-14
32,Zenit St. Petersburg,2013-14
