id,team_name,season
1,AS Roma,2015-16
2,Arsenal FC,2015-16
3,BATE Borisov,2015-16
4,Bayer 04 Leverkusen,2015-16
5,Bayern München,2015-16
6,Bor. Mönchengladbach,2015-16
7,CSKA Moskva,2015-16
8,Chelsea FC,2015-16
9,Club Atlético de Madrid,2015-16
10,Dinamo Kiev,2015-16
11,FC Barcelona,2015-16
12,FC Porto,2015-16
13,FK Astana,2015-16
14,FK Shakhtar Donetsk,2015-16
15,GNK Dinamo Zagreb,2015-16
16,Galatasaray SK,2015-16
17,Juventus FC,2015-16
18,KAA Gent,2015-16
19,Maccabi Tel Aviv,2015-16
20,Malmö FF,2015-16
21,Manchester City FC,2015-16
22,Manchester United FC,2015-16
23,Olympiakos Piraeus,2015-16
24,Olympique Lyonnais,2015-16
25,PSV,2015-16
26,Paris Saint-Germain FC,2015-16
27,Real Madrid CF,2015-16
28,SL Benfica,2015-16
29,Sevilla FC,2015-16
30,Valencia CF,2015-16
31,VfL Wolfsburg,2015-16
32,Zenit St. Petersburg,2015-16
