id,team_name,season
1,AFC Ajax,2020-21
2,Atalanta BC,2020-21
3,Bayern München,2020-21
4,Bor. Mönchengladbach,2020-21
5,Borussia Dortmund,2020-21
6,Chelsea FC,2020-21
7,Club Atlético de Madrid,2020-21
8,Club Brugge KV,2020-21
9,Dinamo Kiev,2020-21
10,FC Barcelona,2020-21
11,FC Internazionale Milano,2020-21
12,FC Midtjylland,2020-21
13,FC Porto,2020-21
14,FC Red Bull Salzburg,2020-21
15,FK Krasnodar,2020-21
16,FK Shakhtar Donetsk,2020-21
17,Ferencvárosi TC,2020-21
18,Juventus FC,2020-21
19,Lazio Roma,2020-21
20,Liverpool FC,2020-21
21,Lokomotiv Moskva,2020-21
22,Manchester City FC,2020-21
23,Manchester United FC,2020-21
24,Olympiakos Piraeus,2020-21
25,Olympique de Marseille,2020-21
26,Paris Saint-Germain FC,2020-21
27,RB Leipzig,2020-21
28,Real Madrid CF,2020-21
29,Sevilla FC,2020-21
30,Stade Rennais,2020-21
31,Zenit St. Petersburg,2020-21
32,İstanbul Başakşehir,2020-21
