id,team_name,season
1,1. FC Köln,2022-23
2,1. FC Slovácko,2022-23
3,ACF Fiorentina,2022-23
4,AEK Larnaca,2022-23
5,AZ Alkmaar,2022-23
6,Apollon Limassol,2022-23
7,Austria Wien,2022-23
8,CFR Cluj,2022-23
9,Djurgårdens IF,2022-23
10,FC Basel 1893,2022-23
11,FC Sheriff,2022-23
12,FC Vaduz,2022-23
13,FCSB,2022-23
14,FK Bodø/Glimt,2022-23
15,FK RFS,2022-23
16,FK Žalgiris,2022-23
17,Hapoel Be'er Sheva,2022-23
18,Heart of Midlothian,2022-23
19,KAA Gent,2022-23
20,KF Ballkani,2022-23
21,Lazio Roma,2022-23
22,Lech Poznań,2022-23
23,Molde FK,2022-23
24,OGC Nice,2022-23
25,PFC Ludogorets Razgrad,2022-23
26,Partizan,2022-23
27,Pyunik FC,2022-23
28,Qarabağ FK,2022-23
29,RSC Anderlecht,2022-23
30,SK Dnipro-1,2022-23
31,SK Slavia Praha,2022-23
32,Shamrock Rovers,2022-23
33,Silkeborg IF,2022-23
34,Sivasspor,2022-23
35,Slovan Bratislava,2022-23
36,Sporting Clube de Braga,2022-23
37,Trabzonspor,2022-23
38,Villarreal CF,2022-23
39,West Ham United,2022-23
40,İstanbul Başakşehir,2022-23
