id,team_name,season
1,1. FC Union Berlin,2021-22
2,AC Sparta Praha,2021-22
3,AS Roma,2021-22
4,AZ Alkmaar,2021-22
5,Anorthosis Famagusta,2021-22
6,CFR Cluj,2021-22
7,CSKA Sofia,2021-22
8,Celtic FC,2021-22
9,FC Alashkert,2021-22
10,FC Basel 1893,2021-22
11,FC Flora,2021-22
12,FC København,2021-22
13,FC Midtjylland,2021-22
14,FK Bodø/Glimt,2021-22
15,FK Jablonec,2021-22
16,FK Kairat,2021-22
17,Fenerbahçe,2021-22
18,Feyenoord Rotterdam,2021-22
19,HJK Helsinki,2021-22
20,KAA Gent,2021-22
21,LASK,2021-22
22,Leicester City,2021-22
23,Lincoln Red Imps,2021-22
24,Maccabi Haifa,2021-22
25,Maccabi Tel Aviv,2021-22
26,NŠ Mura,2021-22
27,Olympique de Marseille,2021-22
28,Omonia Nikosia,2021-22
29,PAOK Saloniki,2021-22
30,PSV,2021-22
31,Partizan,2021-22
32,Qarabağ FK,2021-22
33,Randers FC,2021-22
34,Rapid Wien,2021-22
35,SK Slavia Praha,2021-22
36,Slovan Bratislava,2021-22
37,Stade Rennais,2021-22
38,Tottenham Hotspur FC,2021-22
39,Vitesse,2021-22
40,Zorya Lugansk,2021-22
